State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Autumn,84153,225068,2.67,73347,183073,2.5,,,,5,6,1.2,,,,,,,79,75,0.95,,,,,,,,,,,,,6,9,1.5,,,,2,3,1.5,2,3,1.5,3,3,1,,,,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,67949,170384,2.51,67873,154414,2.28,58545,22366,0.38,78344,183080,2.34,82457,186996,2.27,86540,247613,2.86,76664,180533,2.35,62254,95620,1.54,54724,95829,1.75,73252,258125,3.52,72105,253840,3.52,81390,250241,3.07,82231,228890,2.78,83814,258639,3.09,87780,284336,3.24,87481,306029,3.5,87515,199289,2.28,84276,269501,3.2,78492,254525,3.24,88366,318056,3.6,83059,304725,3.67
,Total,84153,225068,2.67,73347,183073,2.5,67949,170384,2.51,67878,154420,2.27,58545,22366,0.38,78344,183080,2.34,82536,187071,2.27,86540,247613,2.86,76664,180533,2.35,62254,95620,1.54,54724,95829,1.75,73258,258134,3.52,72105,253840,3.52,81392,250244,3.07,82233,228893,2.78,83817,258642,3.09,87780,284336,3.24,87481,306029,3.5,87515,199289,2.28,84276,269501,3.2,78492,254525,3.24,88366,318056,3.6,83059,304725,3.67
Total (Rice),,84153,225068,2.67,73347,183073,2.5,67949,170384,2.51,67878,154420,2.27,58545,22366,0.38,78344,183080,2.34,82536,187071,2.27,86540,247613,2.86,76664,180533,2.35,62254,95620,1.54,54724,95829,1.75,73258,258134,3.52,72105,253840,3.52,81392,250244,3.07,82233,228893,2.78,83817,258642,3.09,87780,284336,3.24,87481,306029,3.5,87515,199289,2.28,84276,269501,3.2,78492,254525,3.24,88366,318056,3.6,83059,304725,3.67
24. Safflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Rabi,69,55,0.8,71,59,0.83,2,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Safflower),,69,55,0.8,71,59,0.83,2,2,1,2,2,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
25. Sannhamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,,,,,,,,,,,,,,,,,,,4,2,0.5,5,16.66,3.33,,,,4,3,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Sannhamp),,,,0,,,0,,,0,,,0,,,0,,,0,4,2,0.5,5,16.66,3.33,,,0,4,3,0.75,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
26. Sesamum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Sesamum),,,,0,,,0,,,0,,,0,2,2,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
27. Small millets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,,,,,,,2,1,0.5,1,1,1,,,,16,12,0.75,,,,,,,10,8,0.8,,,,,,,,,,,,,217,163,0.75,235,176,0.75,,,,,,,,,,,,,658,494,0.75,810,608,0.75,682,514,0.75,636,478,0.75
Total (Small millets),,,,0,,,0,2,1,0.5,1,1,1,,,0,16,12,0.75,,,0,,,0,10,8,0.8,,,0,,,0,,,0,,,0,217,163,0.75,235,176,0.75,,,0,,,0,,,0,,,0,658,494,0.75,810,608,0.75,682,514,0.75,636,478,0.75
28. Sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
